,name,key
1170410340,Louise Rosalie de Sinclair,6633
118607960,August Wilhelm von Schlegel,766
118540238,Johann Wolfgang von Goethe,137
118608045,Friedrich Schleiermacher,43
1015523803,Auguste Luise Adolfine von Flotow,5500
113672446,Jonathan Birch,
12989432X,Ludwig Tieck,48
115357742,Karl B. Hase,5623
None,Unbekannt,
118554700,Alexander von Humboldt,555
118607987,Friedrich von Schlegel,19453
116216948,Eduard Böcking,
118808850,August Böckh,1740
121354016,August Ludwig Hülsen,111
118757490,Christian Friedrich Tieck,56
104137169,William Richard Hamilton,9888
37846-X,Royal Society of Literature of the United Kingdom,
118973665,Sophie Bernhardi,132
119376466,Richard H. Horne,
118860283,Johannes Schulze,3478
118542257,Jacob Grimm,1899
1025657268,Amalie Wolper,3460
117175277,Eugène Burnouf,3591
118630741,Friedrich Gottlieb Welcker,1105
100162878,Leopold August Wilhelm Dorotheus von Henning,
1166716929,Societät für Wissenschaftliche Kritik zu Berlin,
117320536,Karl August Moritz Schlegel,187
121022323,Peter Adam Wallmark,
119096552,Wilhelm Gesenius,6808
1020124741,Elisabeth Wilhelmine van Nuys,1494
116921048,Joseph Daniel Guigniaut,3817
118607057,Friedrich Wilhelm Joseph von Schelling,62
11852156X,Heinrich Joseph von Collin,1473
11852111X,Carl von Clausewitz,1321
115664823,Johann Christoph von Aretin,544
117202770,Auguste Louis de Staël-Holstein,268
116424184,Guillaume Favre,710
117462241,Friedrich Ludwig Christian zu Solms-Laubach,2323
100489885,Marie Philippe Aimé de Golbéry,6644
1070291315,Karl Gregor von Knorring,102
100519024,August Gebauer,
120855089,Johann Carl Christian Fischer,281
116187530,Josiah Dornford,5691
118599100,Johann Friedrich Reichardt,1715
118534556,Friedrich de La Motte-Fouqué,220
128971827,Charlotte Ernst,115
1015710549,Ludwig Emanuel Ernst,129
11855073X,Christian Gottlob Heyne,257
1015878180,Ximénès Doudan,3833
1015760635,Henriette Ernst,2139
118616617,Anne Louise Germaine de Staël-Holstein,222
119209349,Julius Eduard Hitzig,867
119512831,Christian Lassen,2566
117746185,Luise von Voss,1143
118824775,Carl August Böttiger,786
118682857,Heinrich Ewald,3787
118524089,Humphry Davy,2625
118659332,Franz Bopp,2426
116652721,Jakob Lamberz,6440
100185657,Antoine Jean Letronne,3824
118607049,Caroline von Schelling,21905
118695916,Georg Joachim Göschen,2812
119263297,Christian Gottfried Daniel Nees von Esenbeck,
116392576,Philipp Joseph von Rehfues,2325
117293091,Friederike Helene Unger,380
11858622X,Hans Georg Nägeli,9210
100799434,Johann Carl Fürchtegott Schlegel,1393
1019578068,Johanna Christiane Erdmuthe Schlegel,264
118543520,François Guizot,5529
119202662,Johann David Passavant,6362
173169228,Albertine Ida Gustavine de Broglie,237
116562463,Achille-Léon-Victor de Broglie,2309
1037537823,Eduard Weber,3554
1082775169,Joseph Leonhard Bitter,
117186880,Augusta von Buttlar,121
136985181,Moses Friedlaender,
117353752,Luise Wiedemann,1929
118560174,"Karl Johann XIV., Schweden, König",2243
1019580852,Julie Schlegel,1392
118573527,Franz Liszt,
118555324,August Wilhelm Iffland,25
1072949806,"C. F. Winter, Akademische Buchhandlung (Heidelberg)",
1134990065,Anton Winter,
117321435,Sophie von Schlegel,2402
11942441X,Johannes Niederer,8823
119059622,Friedrich von Raumer,562
122506979,Auguste Böhmer,30
100747256,Ernest Augustin Xavier Clerc de Landresse,9532
11718960X,Zacharias Löwenthal,
117416959,Ludolf Christian Treviranus,
1076296181,Marie Czettritz-Neuhaus,
116636688,Henry T. Colebrooke,2385
11862783X,Karl Vom Stein Zum Altenstein,2403
117053961,Gottlieb Hufeland,242
1014905133,Moses Gumprecht,
117384259,Friedrich Wilken,1739
118610473,Johanna Schopenhauer,5425
117046825,Karl Dietrich Hüllmann,2439
119332108,Jakob Götzenberger,3574
139962808,Prosper Dondey-Dupré,9420
123197066,Heinrich von Dechen,6960
11851301X,Sulpiz Boisserée,175
137018967,Henriette Mendelssohn,19822
118742361,Caroline Pichler,1511
117395056,Friedrich Wilmans,183
118677330,Friedrich Creuzer,1341
100454356,Richard Cattermole,
116187913,Wilhelm Dorow,3512
104045213,Heinrich Carl Abraham Eichstaedt,714
117144398,Johann Gustav Gottlieb Büsching,1220
100796923,Johann Georg Heinrich Feder,3404
118777831,Johann Ferdinand Koreff,868
118504177,Achim von Arnim,188
118556312,Friedrich Heinrich Jacobi,1272
116146346,Felix Theodor von Bernhardi,96
100143695,Johann I. von Gerning,2859
109475860,Karl von Hardenberg,179
117401072,Friedrich Heinrich Hugo Windischmann,6848
118831194,Georg Andreas Reimer,176
1052468969,Gustaf af Wetterstedt,2257
116444541,Karl August Reimer,5588
131839268,Ludwig H. von Meyerinck,5194
118626167,Karl August Varnhagen von Ense,625
118726285,Karl Heinrich von Lang ,
104335262,Johann Albrecht Friedrich Eichhorn,3942
1014635225,Theophil Wilhelm Anton von Hompesch-Rurich,
136309976,Karl Friedrich Theodor von Flotow,5182
1025110358,Robert James Talbot,
142191620,Adolph Heller,
104359714,Friedrich Rühs,
116994258,Leonard Horner,
119360659,Helmina von Chézy,902
